id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi_sampah,satuan,tahun
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,614.61,TON PER HARI,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,1193.76,TON PER HARI,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,201.09,TON PER HARI,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46.62,TON PER HARI,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,719.72,TON PER HARI,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,232.06,TON PER HARI,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,1529.04,TON PER HARI,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,229.75,TON PER HARI,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,1500.77,TON PER HARI,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,1418.87,TON PER HARI,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,193.36,TON PER HARI,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,295.87,TON PER HARI,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,60.29,TON PER HARI,2021
