id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_hutan_rakyat,satuan,tahun
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15454.72,HEKTAR,2017
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,7243.93,HEKTAR,2017
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,16096.32,HEKTAR,2017
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12735.42,HEKTAR,2017
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,844.22,HEKTAR,2017
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,4719.37,HEKTAR,2017
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3356.59,HEKTAR,2017
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,16112.19,HEKTAR,2017
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,2779.57,HEKTAR,2017
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,HEKTAR,2017
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3012.0,HEKTAR,2017
208,32,JAWA BARAT,3271,KOTA BOGOR,0.0,HEKTAR,2017
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2017
210,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2017
211,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2017
212,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2017
213,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2017
214,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2017
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2629.4,HEKTAR,2017
216,32,JAWA BARAT,3279,KOTA BANJAR,1065.51,HEKTAR,2017
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.51,HEKTAR,2018
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,734.64,HEKTAR,2018
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8953.26,HEKTAR,2018
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,29963.56,HEKTAR,2018
221,32,JAWA BARAT,3205,KABUPATEN GARUT,96353.55,HEKTAR,2018
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,47017.0,HEKTAR,2018
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,50192.19,HEKTAR,2018
